url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,week_date,year
http://www.billboard.com/charts/hot-100/2016-06-18,6/18/2016,67,Grammys,Drake Featuring Future,GrammysDrake Featuring Future,1,56,38,5,2016-06-18,2016
http://www.billboard.com/charts/hot-100/2012-06-23,6/23/2012,67,No Lie,2 Chainz Featuring Drake,No Lie2 Chainz Featuring Drake,1,78,45,5,2012-06-23,2012
https://www.billboard.com/charts/hot-100/2018-11-03,11/3/2018,68,No Stylist,French Montana Featuring Drake,No StylistFrench Montana Featuring Drake,1,67,47,5,2018-11-03,2018
https://www.billboard.com/charts/hot-100/2018-11-17,11/17/2018,69,Never Recover,Lil Baby & Gunna Featuring Drake,Never RecoverLil Baby & Gunna Featuring Drake,1,60,15,5,2018-11-17,2018
https://www.billboard.com/charts/hot-100/2021-04-17,4/17/2021,70,Lemon Pepper Freestyle,Drake Featuring Rick Ross,Lemon Pepper FreestyleDrake Featuring Rick Ross,1,70,3,5,2021-04-17,2021
http://www.billboard.com/charts/hot-100/2010-07-17,7/17/2010,72,Miss Me,Drake Featuring Lil Wayne,Miss MeDrake Featuring Lil Wayne,1,76,15,5,2010-07-17,2010
http://www.billboard.com/charts/hot-100/2011-01-22,1/22/2011,72,Fall For Your Type,Jamie Foxx Featuring Drake,Fall For Your TypeJamie Foxx Featuring Drake,1,78,62,5,2011-01-22,2011
http://www.billboard.com/charts/hot-100/2009-10-31,10/31/2009,74,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,I'm Going InDrake Featuring Lil Wayne & Young Jeezy,1,74,40,5,2009-10-31,2009
http://www.billboard.com/charts/hot-100/2016-06-18,6/18/2016,80,Feel No Ways,Drake,Feel No WaysDrake,1,65,53,5,2016-06-18,2016
http://www.billboard.com/charts/hot-100/2017-04-29,4/29/2017,87,No Frauds,"Nicki Minaj, Drake & Lil Wayne","No FraudsNicki Minaj, Drake & Lil Wayne",1,84,14,5,2017-04-29,2017
http://www.billboard.com/charts/hot-100/2017-05-06,5/6/2017,92,Gyalchester,Drake,GyalchesterDrake,1,62,29,5,2017-05-06,2017
http://www.billboard.com/charts/hot-100/2015-11-07,11/7/2015,93,Live From The Gutter,Drake & Future,Live From The GutterDrake & Future,1,93,74,5,2015-11-07,2015
http://www.billboard.com/charts/hot-100/2015-11-07,11/7/2015,96,I'm The Plug,Drake & Future,I'm The PlugDrake & Future,1,84,76,5,2015-11-07,2015
https://www.billboard.com/charts/hot-100/2018-03-10,3/10/2018,1,God's Plan,Drake,God's PlanDrake,1,1,1,6,2018-03-10,2018
https://www.billboard.com/charts/hot-100/2018-08-18,8/18/2018,1,In My Feelings,Drake,In My FeelingsDrake,1,1,1,6,2018-08-18,2018
https://www.billboard.com/charts/hot-100/2018-05-26,5/26/2018,2,Nice For What,Drake,Nice For WhatDrake,1,2,1,6,2018-05-26,2018
https://www.billboard.com/charts/hot-100/2020-02-29,2/29/2020,2,Life Is Good,Future Featuring Drake,Life Is GoodFuture Featuring Drake,1,2,2,6,2020-02-29,2020
https://www.billboard.com/charts/hot-100/2020-10-03,10/3/2020,4,Laugh Now Cry Later,Drake Featuring Lil Durk,Laugh Now Cry LaterDrake Featuring Lil Durk,1,3,2,6,2020-10-03,2020
https://www.billboard.com/charts/hot-100/2018-07-14,7/14/2018,7,I'm Upset,Drake,I'm UpsetDrake,1,26,7,6,2018-07-14,2018
http://www.billboard.com/charts/hot-100/2013-09-28,9/28/2013,9,"Hold On, We're Going Home",Drake Featuring Majid Jordan,"Hold On, We're Going HomeDrake Featuring Majid Jordan",1,8,8,6,2013-09-28,2013
https://www.billboard.com/charts/hot-100/2019-07-27,7/27/2019,10,No Guidance,Chris Brown Featuring Drake,No GuidanceChris Brown Featuring Drake,1,12,9,6,2019-07-27,2019
http://www.billboard.com/charts/hot-100/2010-06-26,6/26/2010,10,Find Your Love,Drake,Find Your LoveDrake,1,13,10,6,2010-06-26,2010
http://www.billboard.com/charts/hot-100/2013-03-09,3/9/2013,10,Love Me,Lil Wayne Featuring Drake & Future,Love MeLil Wayne Featuring Drake & Future,1,19,10,6,2013-03-09,2013
https://www.billboard.com/charts/hot-100/2018-03-31,3/31/2018,11,Look Alive,BlocBoy JB Featuring Drake,Look AliveBlocBoy JB Featuring Drake,1,9,5,6,2018-03-31,2018
http://www.billboard.com/charts/hot-100/2016-12-17,12/17/2016,11,Fake Love,Drake,Fake LoveDrake,1,11,10,6,2016-12-17,2016
https://www.billboard.com/charts/hot-100/2019-08-03,8/3/2019,13,Money In The Grave,Drake Featuring Rick Ross,Money In The GraveDrake Featuring Rick Ross,1,12,7,6,2019-08-03,2019
http://www.billboard.com/charts/hot-100/2009-11-07,11/7/2009,14,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",1,15,8,6,2009-11-07,2009
http://www.billboard.com/charts/hot-100/2015-11-14,11/14/2015,14,Jumpman,Drake & Future,JumpmanDrake & Future,1,12,12,6,2015-11-14,2015
http://www.billboard.com/charts/hot-100/2015-09-26,9/26/2015,16,Hotline Bling,Drake,Hotline BlingDrake,1,22,16,6,2015-09-26,2015
http://www.billboard.com/charts/hot-100/2016-07-30,7/30/2016,17,For Free,DJ Khaled Featuring Drake,For FreeDJ Khaled Featuring Drake,1,20,17,6,2016-07-30,2016
https://www.billboard.com/charts/hot-100/2018-12-01,12/1/2018,18,MIA,Bad Bunny Featuring Drake,MIABad Bunny Featuring Drake,1,19,5,6,2018-12-01,2018
https://www.billboard.com/charts/hot-100/2019-01-19,1/19/2019,18,Going Bad,Meek Mill Featuring Drake,Going BadMeek Mill Featuring Drake,1,21,6,6,2019-01-19,2019
http://www.billboard.com/charts/hot-100/2011-07-09,7/9/2011,20,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne","I'm On OneDJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,19,10,6,2011-07-09,2011
http://www.billboard.com/charts/hot-100/2011-10-01,10/1/2011,23,Headlines,Drake,HeadlinesDrake,1,25,13,6,2011-10-01,2011
http://www.billboard.com/charts/hot-100/2009-11-28,11/28/2009,34,Money To Blow,Birdman Featuring Lil Wayne & Drake,Money To BlowBirdman Featuring Lil Wayne & Drake,1,40,34,6,2009-11-28,2009
http://www.billboard.com/charts/hot-100/2011-02-05,2/5/2011,37,Moment 4 Life,Nicki Minaj Featuring Drake,Moment 4 LifeNicki Minaj Featuring Drake,1,44,37,6,2011-02-05,2011
http://www.billboard.com/charts/hot-100/2011-09-10,9/10/2011,41,Marvins Room,Drake,Marvins RoomDrake,1,41,21,6,2011-09-10,2011
http://www.billboard.com/charts/hot-100/2012-12-22,12/22/2012,42,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar","F**kin ProblemsA$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",1,59,42,6,2012-12-22,2012
https://www.billboard.com/charts/hot-100/2020-03-28,3/28/2020,4,Life Is Good,Future Featuring Drake,Life Is GoodFuture Featuring Drake,1,3,2,10,2020-03-28,2020
http://www.billboard.com/charts/hot-100/2013-10-26,10/26/2013,5,"Hold On, We're Going Home",Drake Featuring Majid Jordan,"Hold On, We're Going HomeDrake Featuring Majid Jordan",1,5,4,10,2013-10-26,2013
https://www.billboard.com/charts/hot-100/2018-04-28,4/28/2018,6,Look Alive,BlocBoy JB Featuring Drake,Look AliveBlocBoy JB Featuring Drake,1,5,5,10,2018-04-28,2018
https://www.billboard.com/charts/hot-100/2019-08-24,8/24/2019,6,No Guidance,Chris Brown Featuring Drake,No GuidanceChris Brown Featuring Drake,1,6,6,10,2019-08-24,2019
http://www.billboard.com/charts/hot-100/2010-07-24,7/24/2010,9,Find Your Love,Drake,Find Your LoveDrake,1,8,5,10,2010-07-24,2010
http://www.billboard.com/charts/hot-100/2013-04-06,4/6/2013,9,Love Me,Lil Wayne Featuring Drake & Future,Love MeLil Wayne Featuring Drake & Future,1,10,9,10,2013-04-06,2013
http://www.billboard.com/charts/hot-100/2017-01-14,1/14/2017,9,Fake Love,Drake,Fake LoveDrake,1,10,9,10,2017-01-14,2017
https://www.billboard.com/charts/hot-100/2019-08-31,8/31/2019,13,Money In The Grave,Drake Featuring Rick Ross,Money In The GraveDrake Featuring Rick Ross,1,13,7,10,2019-08-31,2019
http://www.billboard.com/charts/hot-100/2011-08-06,8/6/2011,13,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne","I'm On OneDJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,14,10,10,2011-08-06,2011
https://www.billboard.com/charts/hot-100/2019-02-16,2/16/2019,15,Going Bad,Meek Mill Featuring Drake,Going BadMeek Mill Featuring Drake,1,15,6,10,2019-02-16,2019
http://www.billboard.com/charts/hot-100/2011-10-29,10/29/2011,15,Headlines,Drake,HeadlinesDrake,1,17,13,10,2011-10-29,2011
